"","X.3","X.2","X.1","X","id","sexo","fechnac","educ","catlab","salario","salini","tiempemp","expprev","minoria","genero","ci","edad","grupedad","estudios","salargr"
"1",1,1,1,1,1,"Hombre","1952-02-03",15,"Directivo",57000,27000,98,144,"No","Masculino",85.7133343272102,38.0479123887748,"Entre 35 y 40 años","Medios","Entre 50.001 y 75.000 $"
"2",2,2,2,2,2,"Hombre","1958-05-23",16,"Administrativo",40200,18750,98,36,"No","Masculino",133.381117056561,31.7481177275838,"Entre 30 y 35 años","Medios","Entre 25.001 y 50.000 $"
"3",3,3,3,3,3,"Mujer","1929-07-26",12,"Administrativo",21450,12000,98,381,"No","Femenino",122.424747778706,60.5722108145106,"Más de 40 años","Secundarios","Hasta 25.000 $"
"4",4,4,4,4,4,"Mujer","1947-04-15",8,"Administrativo",21900,13200,98,190,"No","Femenino",92.5952717004238,42.8528405201916,"Más de 40 años","Primarios","Hasta 25.000 $"
"5",5,5,5,5,5,"Hombre","1955-02-09",15,"Administrativo",45000,21000,98,138,"No","Masculino",117.120737550818,35.0308008213552,"Entre 35 y 40 años","Medios","Entre 25.001 y 50.000 $"
"6",6,6,6,6,6,"Hombre","1958-08-22",15,"Administrativo",32100,13500,98,67,"No","Masculino",102.490080268507,31.4989733059548,"Entre 30 y 35 años","Medios","Entre 25.001 y 50.000 $"
"7",7,7,7,7,7,"Hombre","1956-04-26",15,"Administrativo",36000,18750,98,114,"No","Masculino",63.9685489389307,33.8206707734428,"Entre 30 y 35 años","Medios","Entre 25.001 y 50.000 $"
"8",8,8,8,8,8,"Mujer","1966-05-06",12,"Administrativo",21900,9750,98,0,"No","Femenino",106.915657064195,23.7946611909651,"Hasta 25 años","Secundarios","Hasta 25.000 $"
"9",9,9,9,9,9,"Mujer","1946-01-23",15,"Administrativo",27900,12750,98,115,"No","Femenino",122.9407518693,44.0766598220397,"Más de 40 años","Medios","Entre 25.001 y 50.000 $"
"10",10,10,10,10,10,"Mujer","1946-02-13",12,"Administrativo",24000,13500,98,244,"No","Femenino",105.103895342386,44.0191649555099,"Más de 40 años","Secundarios","Hasta 25.000 $"
"11",11,11,11,11,11,"Mujer","1950-02-07",16,"Administrativo",30300,16500,98,143,"No","Femenino",84.9820670595113,40.0355920602327,"Más de 40 años","Medios","Entre 25.001 y 50.000 $"
"12",12,12,12,12,12,"Hombre","1966-01-11",8,"Administrativo",28350,12000,98,26,"Sí","Masculino",99.7786690530473,24.1095140314853,"Hasta 25 años","Primarios","Entre 25.001 y 50.000 $"
"13",13,13,13,13,13,"Hombre","1960-07-17",15,"Administrativo",27750,14250,98,34,"Sí","Masculino",120.148932842329,29.596167008898,"Entre 25 y 30 años","Medios","Entre 25.001 y 50.000 $"
"14",14,14,14,14,14,"Mujer","1949-02-26",15,"Administrativo",35100,16800,98,137,"Sí","Femenino",101.638041694901,40.9828884325804,"Más de 40 años","Medios","Entre 25.001 y 50.000 $"
"15",15,15,15,15,15,"Hombre","1962-08-29",12,"Administrativo",27300,13500,97,66,"No","Masculino",67.7458668889282,27.4798083504449,"Entre 25 y 30 años","Secundarios","Entre 25.001 y 50.000 $"
"16",16,16,16,16,16,"Hombre","1964-11-17",12,"Administrativo",40800,15000,97,24,"No","Masculino",107.557121944314,25.2594113620808,"Entre 25 y 30 años","Secundarios","Entre 25.001 y 50.000 $"
"17",17,17,17,17,17,"Hombre","1962-07-18",15,"Administrativo",46000,14250,97,48,"No","Masculino",118.864313389313,27.5947980835045,"Entre 25 y 30 años","Medios","Entre 25.001 y 50.000 $"
"18",18,18,18,18,18,"Hombre","1956-03-20",16,"Directivo",103750,27510,97,70,"No","Masculino",100.130654427475,33.9219712525667,"Entre 30 y 35 años","Medios","Más de 75.000 $"
"19",19,19,19,19,19,"Hombre","1962-08-19",12,"Administrativo",42300,14250,97,103,"No","Masculino",85.7772928817572,27.5071868583162,"Entre 25 y 30 años","Secundarios","Entre 25.001 y 50.000 $"
"20",20,20,20,20,20,"Mujer","1940-01-23",12,"Administrativo",26250,11550,97,48,"No","Femenino",131.515075682172,50.0780287474333,"Más de 40 años","Secundarios","Entre 25.001 y 50.000 $"
