id;gender;age;familysize;country;major;riasec.realistic;riasec.investigative;riasec.artistic;riasec.social;riasec.enterprising;riasec.conventional;tipi.openess;tipi.conscientiousness;tipi.extraversion;tipi.agreeableness;tipi.neuroticism
1;Male;14;1;US;Other;2.5;4.125;3.375;4.625;2;1.5;5;4;6;9;5
2;Male;29;3;US;Other;1.75;4.375;2.375;2.75;1.25;1.25;14;11;7;9;6
3;Female;23;1;US;Other;1.125;1.375;1.375;3.75;3;2;10;10;13;11;10
7;Male;20;3;US;Other;2.25;2.75;2.625;2.5;2;2.625;9;9;3;8;6
9;Female;31;3;US;Other;1;1.375;1;2.5;1;2.25;8;10;8;11;8
19;Male;34;2;US;Other;4;4.625;4;4.375;4.25;4;10;14;9;10;6
22;Male;23;3;US;Other;1.375;2.375;3.875;3.625;3.25;3.75;13;9;8;10;11
23;Female;50;3;US;Psychology;1.25;1.125;1.625;3.25;1.125;1;10;14;6;13;7
24;Male;35;3;US;Other;3;1.5;1.5;2.5;1;1;14;14;14;14;2
27;Female;21;3;US;Other;1.625;3;3.25;4.125;3.125;2.875;14;13;9;9;3
30;Female;24;2;US;Other;1.625;3.75;1.25;4;2;4.25;10;13;12;11;5
31;Female;17;2;US;Other;1.125;2.75;3.375;4.125;3.25;1.125;10;14;7;9;7
32;Female;31;2;US;Other;3;3.25;1.25;3;1.375;1.5;11;14;11;10;3
35;Female;39;4;US;Other;2;2.375;2.875;3.25;2.75;2.875;14;13;9;13;5
37;Female;44;2;US;Other;3;3.25;3.625;2.875;4;3.875;13;14;11;13;5
40;Female;32;2;US;Other;1;2;1.5;2.5;2;3.5;5;13;8;7;12
41;Female;40;3;US;Other;2.25;3;2.25;3.5;2.875;2.5;11;12;6;11;3
43;Female;27;5;US;Other;4.125;3.625;5;4.75;4.25;4.875;14;14;13;7;4
45;Male;24;4;US;Other;3.375;4.125;4.625;4;3.125;2.875;12;9;9;11;4
47;Male;28;2;US;Other;2;2.375;5;3.375;2.375;2.25;10;10;10;11;6
49;Female;16;2;US;Other;1;1.75;3.5;3.375;2.25;1.125;13;13;13;9;7
50;Female;41;2;US;Psychology;2.75;3;2.875;3.875;2.625;3.375;8;13;8;11;8
51;Female;20;5;US;Other;1.75;2.5;3.125;3.375;1;2;5;11;7;14;10
55;Female;29;3;US;Other;1;1.25;1;3.25;1.75;1;9;6;11;10;9
56;Male;31;2;US;Other;2.125;2.875;2.5;3.125;3;2.5;13;11;5;10;7
58;Female;28;3;US;Other;1.5;2.375;3.25;4.375;4.125;4.5;9;14;5;10;5
59;Female;44;3;US;Other;3.25;2.5;3.75;1.625;1.25;2.125;9;10;4;8;7
62;Male;21;2;US;Other;3.375;3.5;2.125;3;2.875;3;12;11;12;7;4
64;Female;17;2;US;Other;1.25;3.25;3.125;1.875;1.75;1.875;11;11;9;11;4
65;Female;53;3;US;Other;1;2.625;2.125;3.375;1.5;2.625;11;14;7;14;3
66;Female;18;1;US;Other;2.125;4.125;2.625;1.875;1.5;3.5;9;10;2;6;8
67;Male;50;4;US;Other;2.625;4;4.25;3.875;4.75;2.25;9;10;12;11;6
69;Female;47;3;US;Other;1.25;1.5;4.125;3.5;3.375;1.25;13;14;11;14;6
72;Female;30;1;US;Other;2.375;3.25;3.125;2.75;2.125;1.75;13;10;9;7;10
73;Male;38;1;US;Psychology;1.375;3.875;3.375;3.375;2.25;2.375;11;11;6;11;5
74;Male;24;2;US;Other;1.25;3.875;3.375;3.125;2.75;2.125;10;8;5;10;7
75;Female;28;3;US;Other;1.625;1.375;2.5;2.5;2.375;2;12;13;7;11;6
76;Male;21;6;US;Other;2.75;2.5;2.125;2.75;3.75;4.125;11;8;3;10;4
85;Female;30;3;US;Other;1;2.625;2.5;3.375;2.5;1.625;14;13;14;12;13
89;Female;45;2;US;Other;1.625;4.125;4.125;2.125;1.875;1.25;13;14;2;8;4
91;Male;18;3;US;Other;2.5;3;4.25;4.125;3.25;3.25;11;4;14;9;9
98;Male;28;3;US;Other;1.25;1.625;1.75;2;1.75;2.125;8;14;7;10;8
103;Female;44;3;US;Other;2.375;4.25;4.5;2.875;3;1.5;14;13;9;13;4
104;Female;38;5;US;Other;1.875;2.125;2;3.5;1.5;2;10;13;5;12;11
105;Female;29;1;US;Other;2.25;3.875;2.875;3;2;2.625;10;11;5;8;9
107;Female;39;1;US;Psychology;1.75;4;1.75;4.25;2;2.5;12;14;4;14;10
112;Male;27;2;US;Other;2.125;2.75;2.5;2;2;2.125;7;7;7;7;5
115;Female;19;2;US;Other;2.25;3.625;2.75;2.75;1.625;1.875;10;10;7;10;12
116;Female;46;3;US;Psychology;1;3.625;2.5;3.125;1.875;1.375;10;12;10;10;4
118;Male;22;3;US;Other;1.75;2.375;1.875;1.875;2;3.75;8;13;9;5;8
120;Female;19;1;US;Other;2.125;2.25;2.25;2.25;1.625;1.125;9;12;8;9;5
122;Female;27;3;US;Other;1.125;2.125;2.625;3.375;1.125;3.375;9;9;8;12;4
123;Male;25;2;US;Other;1;1.75;1.25;3.25;1;1.25;13;14;14;11;3
